Ein Service des Knowledge-Hubs von Monitor Versorgungsforschung. Täglich automatisiert KI-kuratiert aus PubMed und auf Deutsch übersetzt.

Aufgenommen;Autor;Publiziert am;In PubMed seit;Journal;Jahr;Titel;Fragestellung;Ergebnis;Übertragbarkeit;PMID;PubMed-Link
2026-09-18;Bassi M et al.;17.09.2026;17.09.2026;Diabetes Res Clin Pract;2026;Frühe Glukosemesstechnik verbessert kognitive Entwicklung bei Kinder-Typ-1-Diabetes;Die prospektive Kohortenstudie mit 153 Kindern und Jugendlichen (6–17 Jahre) prüfte, ob kontinuierliche Glukosemessung (CGM) und automatisierte Insulinabgabe mit neuropsychologischen Ergebnissen (WISC-IV, Exekutivfunktion, Verhalten) korrelieren.;Anhaltende CGM-Nutzung (≥90% der Krankheitsdauer) und höherer automatisierter Betrieb (≥50%) waren mit höherem Verbal Comprehension Index (p=0,005 und p=0,025) und General Ability Index (p=0,015 und p=0,043) assoziiert. HbA1c ≤53 mmol/mol in den ersten 2–5 Jahren nach Diagnose korrelierte mit besseren exekutiven Funktionen und Verhaltenszielen.;Italienische Zentren, kinderdiabetologisch relevant für Technologie-Einsatz;42753828;https://pubmed.ncbi.nlm.nih.gov/42753828/
2026-09-18;Marigliano M et al.;17.09.2026;17.09.2026;Diabetes Res Clin Pract;2026;Sensortechnik ohne Unterbrechung reduziert Automatikmodus-Unterbrechungen um 23 Min/Tag;Multizentrische retrospektive Studie an 42 Jugendlichen, die von Guardian-4- auf Simplera-Sync-Sensor wechselten, verglich kontinuierliche-Glukosemessungs-Parameter und Patient-Reported Outcomes nach MiniMed 780G zwischen letzten zwei Wochen alter und neuer Sensornutzung.;"Automatisierter Modus stieg von 95,3% auf 97,1% (+1,8 Prozentpunkte, ~23 Min/Tag; p<0,02). Time-in-Range (70–180 mg/dL) stieg von 76,7% auf 79,3% (p<0,05); Mittelglukose sank von 146,0 auf 141,3 mg/dL (p<0,05). Behandlungszufriedenheit erhöht, wahrgenommene Last verringert (beide p<0,01).";Italienisches Verbundnetz, technologie-/gerätepolitik für DMP-Modelle relevant;42753827;https://pubmed.ncbi.nlm.nih.gov/42753827/
2026-09-18;Tan X et al.;17.09.2026;17.09.2026;Diabetes Ther;2026;Orales Semaglutid reduziert kardiovaskuläres Risiko in Echtpraxis stärker als DPP4/SGLT2i;Beobachtungskohortenstudie mit US-Verwaltungsdaten an 10.878 Semaglutid-Neupatienten mit Typ-2-Diabetes und ASKVD verglich MACE und Sterblichkeit gegenüber Dipeptidylpeptidase-4-Inhibitoren (DPP4i, n=7.218) und SGLT2-Inhibitoren (SGLT2i, n=21.572).;"Semaglutid zeigte 17–21% Reduktion des 3-Punkte-MACE vs. alle Vergleicher (p<0,001). Gegen DPP4i: 22–24% Risikoreduktion (p<0,001). Gegen SGLT2i: 21–22% Risikoreduktion für 3-Punkte-MACE (p<0,001); signifikant niedrigere Gesamtsterblichkeit und Schlaganfallrisiko (p<0,001).";USA-Daten, praxisrelevant für Deutschland nur beim kardiovaskulären Schutzprofil;42753116;https://pubmed.ncbi.nlm.nih.gov/42753116/
2026-09-18;Keech AC et al.;17.09.2026;17.09.2026;Diabetologia;2026;MVX-Index vorhersagt Sterblichkeit bei Typ-2-Diabetes stärker als klassische Risikofaktoren;Die Studie untersuchte, ob NMR-basierte metabolische Vulnerabilitätsindizes (MVX) in einer 5-Jahres-Verlaufsbeobachtung von 9.550 Patienten mit Typ-2-Diabetes die Mortalität besser prognostizieren als etablierte klinische Parameter.;"MVX in der höchsten Quintile war mit mehr als doppeltem Mortalitätsrisiko assoziiert (HR 2,31; 95%-KI 1,71–3,12); jede Standardabweichung MVX-Anstieg bedeutete 75% höheres Mortalitätsrisiko (p<0,001). MVX verbesserte die Risiko-Diskrimination (C-Statistik 0,725 → 0,737; p=0,0003) über alle etablierten Faktoren hinaus.";Australische/neuseeländische Klinikdaten, aber Methodik übertragbar auf deutsche Register;42752966;https://pubmed.ncbi.nlm.nih.gov/42752966/
2026-09-18;Cox SE et al.;16.09.2026;16.09.2026;Diabet Med;2026;Frühe Unterernährung beeinträchtigt Insulinsensitivität dauerhaft, auch nach Gewichtszunahme;Querschnitts-Analyse aus sechs prospektiven Kohorten in Sambia, Tansania, Indien und Philippinen (n=2.172) prüfte, ob frühere Wasting-Malnutrition (Emaziierung) die Insulin-Sekation und -Sensitivität in der Gegenwart beeinflusst, stratifiziert nach aktuellem BMI.;Kinder mit Emaziierung hatten 20–24% niedrigere Insulinsensitivität (Matsuda-Index). Erwachsene mit früher Emaziierung (vor 36–37 Jahren) zeigten auch nach Anpassung für heutigen BMI 18% niedrigere Sensitivität. Kürzliche Emaziierung (3–17 Jahre) korrelierte mit 10–20% niedrigerer Sekretion, aber 21–47% höherer Sensitivität (aufgrund niedriger aktueller BMI).;"Asien, Afrika – wichtig für LMICs; für Deutschland indirekt, wenn Migration/frühe Mangelernährung-Kohorten";42748280;https://pubmed.ncbi.nlm.nih.gov/42748280/
2026-09-18;Mohan V et al.;16.09.2026;16.09.2026;Diabetes Care;2026;Indiens Strategien zur Kostenreduktion moderner Diabetesmittel – Vorlage für LMICs und High-Income-Länder;Expertenbericht aus dem führenden indischen Diabeteszentrum beschreibt pharmazeutische Politik, Preisregulation, generische Produktion und öffentliche Verteilungsinitiativen, die in Indien 60–90% Kostenreduktion für SGLT2i und GLP-1-RA nach Patentablauf erreicht haben.;Indien hat 15- bis 65-fache Preisdifferenzen gegenüber USA-Listenpreisen bei selektierten Mitteln erzielt. Patentablauf, starker Generika-Wettbewerb, strukturierte Preisregulation und Ayushman-Bharat-Regierungsprogramme haben Zugang für Arme und ländliche Bevölkerung erheblich verbessert. Qualitäts- und Pharmakokinetik-Unterschiede zwischen Herstellern bleiben eine Herausforderung.;Indien, LMICs – Lehren für Deutschland nur beim regulatorischen/pricing-Modell, nicht direkt übertragbar;42747945;https://pubmed.ncbi.nlm.nih.gov/42747945/
2026-09-18;Sargent JL et al.;16.09.2026;16.09.2026;Diabetologia;2026;Kohortenstudien als Grundlage der modernen Diabetologie – 50 Jahre Wissensentwicklung;Narrative Übersichtsarbeit von Kohortenforschern aus weltweit über 30 Zentren fasst zusammen, wie Beobachtungsstudien das Verständnis von Typ-2-Diabetes-Entstehung, -Komplikationen und -Risikofaktoren über fünf Dekaden vorangebracht haben.;"Kohortenstudien haben Diagnosekriteria, Komplikationserkennung, Risikovorhersage und Leitlinien-Entwicklung transformiert. Die Analyse behandelt Stärken/Schwächen gegenüber RCTs und experimentellen Modellen; Zukunftswege (KI, Präzisions-Health, Exposom) sind skizziert. Schluss: experimentelle und beobachtende Forschung sind komplementär für Verständnis und Politikwandel.";Europäische und globale Evidenzsynthese, methodologisch für alle Gesundheitssysteme grundlegend;42747447;https://pubmed.ncbi.nlm.nih.gov/42747447/
2026-09-17;Yoo JH et al.;16.09.2026;16.09.2026;Diabetes Care;2026;CGM-Trajektorien bei Typ-1-Diabetes: Altersgruppen profitieren unterschiedlich;Dreiachähr-Kohortenstudie mit 1028 Personen und 3441 CGM-Profilen zur Analyse von Glukoseverlauf stratifiziert nach Alter, Nierenfunktion, Betazellfunktion und BMI.;"Ältere Erwachsene zeigen Verbesserung der Time in Range (TIR) vergleichbar zu jüngeren (β=0,110, p=0,102) ohne Verschärfung von Hypoglykämien. Bei chronischer Nierenkrankheit signifikante TIR-Verbesserung (β=0,228, p=0,002). Schwere Betazelleninsuffizienz limitiert TIR-Gewinne (β=-0,119, p=0,025); substantielle Heterogenität innerhalb Subgruppen unterstützt individualisierte Ziele.";"Südkorea; Konsequenz: Subgruppengerechte CGM-Ziele sind praktikabel und nötig";42747916;https://pubmed.ncbi.nlm.nih.gov/42747916/
2026-09-17;Holt RIG et al.;16.09.2026;16.09.2026;Diabetologia;2026;Typ-1-Diabetes bei Erwachsenen: Leitlinie mit Gewicht auf neue Technologien;Aktualisierte internationale Leitlinie von ADA und EASD zur Behandlung von Typ-1-Diabetes bei Erwachsenen mit Fokus auf Technologien, Screeningverfahren und Management von Adipositas sowie psychosozialer Belastung.;Die Leitlinie integriert kontinuierliche Glukosemessung (CGM) und automatisierte Insulingabesysteme als Standardtherapie, empfiehlt psychische Unterstützung und adressiert erstmals systematisch Langzeit-Komplikationsscreening sowie Prävention von Typ-1-Diabetes im Stadium 3.;ADA/EASD-Konsens, anwendbar auf deutsches Versorgungssystem mit Anpassung an DMP-Struktur;42747450;https://pubmed.ncbi.nlm.nih.gov/42747450/
2026-09-17;Sabbe A et al.;16.09.2026;16.09.2026;J Clin Endocrinol Metab;2026;Time in Range-Abnahme über 5 Jahre vorhersagt mikrovaskuläre Folgen bei Typ-1-Diabetes;Real-World-Kohortenstudie (246 Personen, 24 Jahre Diabetesdauer) zur Assoziation zwischen CGM-Metriken und Auftreten von Nephropathie, Retinopathie oder Neuropathie über 5 Jahre.;HbA1c sank von 7,6% auf 7,2%, TIR stieg von 50% auf 61%. Eine TIR-Abnahme ≥10% war assoziiert mit Komplikationsrate 33,3% (vs. 7,9% bei stabiler TIR, 15,0% bei Zunahme, p=0,011). Change in TIR blieb unabhängig mit Outcome assoziiert (AUC 0,757–0,787). Modelle mit CGM-Metriken und Alter zeigen akzeptable diskriminative Leistung.;"Belgien, ähnliche Versorgungsstruktur; TIR-Trend als Prognosemarker über HbA1c hinaus relevant";42745423;https://pubmed.ncbi.nlm.nih.gov/42745423/
